Summary Date UTC,Utilized,Reserved
9/18/2025,42699,50000
9/17/2025,43166,50000
9/16/2025,43462,50000
9/15/2025,43184,50000
9/14/2025,36983,50000
9/13/2025,39135,50000
9/12/2025,44186,50000
9/11/2025,43557,50000
9/10/2025,43865,50000
9/9/2025,43281,50000
9/8/2025,41686,50000
9/7/2025,36532,50000
9/6/2025,38761,50000
9/5/2025,41495,50000
9/4/2025,42287,50000
9/3/2025,43944,50000
9/2/2025,43784,50000
9/1/2025,39543,50000
8/31/2025,37089,50000
8/30/2025,39734,50000
8/29/2025,44592,50000
8/28/2025,43936,50000
8/27/2025,43923,50000
8/26/2025,43960,50000
8/25/2025,43319,50000
8/24/2025,37125,50000
8/23/2025,38574,50000
8/22/2025,43965,50000
8/21/2025,43305,50000
8/20/2025,43393,50000
8/19/2025,42615,50000
8/18/2025,42838,50000
8/17/2025,36748,50000
8/16/2025,38834,50000
8/15/2025,43228,50000
8/14/2025,42702,50000
8/13/2025,43036,50000
8/12/2025,42982,50000
8/11/2025,41557,50000
8/10/2025,36981,50000
8/9/2025,39433,50000
8/8/2025,43121,50000
8/7/2025,43369,50000
8/6/2025,44432,50000
8/5/2025,44644,50000
8/4/2025,44724,50000
8/3/2025,39092,50000
8/2/2025,41754,50000
8/1/2025,47681,50000
7/31/2025,47930,50000
7/30/2025,47033,50000
7/29/2025,45726,50000
7/28/2025,46371,50000
7/27/2025,40852,50000
7/26/2025,43094,50000
7/25/2025,48068,50000
7/24/2025,46320,50000
7/23/2025,45795,50000
7/22/2025,45330,50000
7/21/2025,45262,50000
7/20/2025,39768,50000
7/19/2025,41872,50000
7/18/2025,44427,50000
7/17/2025,45918,50000
7/16/2025,45738,50000
7/15/2025,45658,50000
7/14/2025,44534,50000
7/13/2025,39481,50000
7/12/2025,40452,50000
7/11/2025,44944,50000
7/10/2025,44464,50000
7/9/2025,44348,50000
7/8/2025,44630,50000
7/7/2025,44298,50000
7/6/2025,38328,50000
7/5/2025,38844,50000
7/4/2025,40775,50000
7/3/2025,45545,50000
7/2/2025,45003,50000
7/1/2025,46449,50040
6/30/2025,43465,50000
6/29/2025,37101,50000
6/28/2025,39186,50000
6/27/2025,43895,50000
6/26/2025,43404,50000
6/25/2025,43415,50000
6/24/2025,43117,50000
6/23/2025,43131,50000
6/22/2025,36475,50000
6/21/2025,39233,50000
6/20/2025,42912,50000
6/19/2025,41203,50000
6/18/2025,43206,50000
6/17/2025,43131,50000
6/16/2025,41186,50000
6/15/2025,37407,50000
6/14/2025,39274,50000
6/13/2025,44733,50000
6/12/2025,42821,50000
6/11/2025,43530,50000
6/10/2025,43604,50000
6/9/2025,42644,50000
6/8/2025,37507,50000
6/7/2025,37731,50000
6/6/2025,42233,50000
6/5/2025,43670,50000
6/4/2025,43870,50000
6/3/2025,44564,50000
6/2/2025,44468,50000
6/1/2025,39306,50000
5/31/2025,40201,50000
5/30/2025,44879,50000
5/29/2025,44890,50000
5/28/2025,44705,50000
5/27/2025,42523,50000
5/26/2025,39507,50000
5/25/2025,37070,50000
5/24/2025,39442,50000
5/23/2025,43600,50000
5/22/2025,42752,50000
5/21/2025,41901,50000
5/20/2025,42303,50000
5/19/2025,41156,50000
5/18/2025,35688,50000
5/17/2025,37840,50000
5/16/2025,42507,50000
5/15/2025,42017,50000
5/14/2025,42552,50000
5/13/2025,41612,50000
5/12/2025,41147,50000
5/11/2025,35686,50000
5/10/2025,38299,50000
5/9/2025,42567,50000
5/8/2025,42206,50000
5/7/2025,42281,50000
5/6/2025,42206,50000
5/5/2025,40380,50000
5/4/2025,35391,50000
5/3/2025,37928,50000
5/2/2025,41105,50000
5/1/2025,44241,50000
4/30/2025,43062,50000
4/29/2025,41882,50000
4/28/2025,40741,50000
4/27/2025,35085,50000
4/26/2025,37329,50000
4/25/2025,42035,50000
4/24/2025,41976,50000
4/23/2025,41714,50000
4/22/2025,41130,50000
4/21/2025,39634,50000
4/20/2025,34279,50000
4/19/2025,37056,50000
4/18/2025,41469,50000
4/17/2025,41713,50000
4/16/2025,41515,50000
4/15/2025,42070,50000
4/14/2025,40151,50000
4/13/2025,35112,50000
4/12/2025,37680,50000
4/11/2025,41912,50000
4/10/2025,41457,50000
4/9/2025,40787,50000
4/8/2025,41144,50000
4/7/2025,41098,50000
4/6/2025,34858,50000
4/5/2025,38227,50000
4/4/2025,43542,50000
4/3/2025,43649,50000
4/2/2025,42244,50000
4/1/2025,44043,50000
3/31/2025,42802,50000
3/30/2025,36956,50000
3/29/2025,38071,50000
3/28/2025,42749,50000
3/27/2025,42498,50000
3/26/2025,43474,50000
3/25/2025,41199,50000
3/24/2025,39626,50000
3/23/2025,35067,50000
3/22/2025,37140,50000
3/21/2025,40944,50000
3/20/2025,39910,50000
3/19/2025,39402,50000
3/18/2025,39506,50000
3/17/2025,37905,50000
3/16/2025,32959,50000
3/15/2025,35833,50000
3/14/2025,38271,50000
3/13/2025,40042,50000
3/12/2025,40205,50000
3/11/2025,40665,50000
3/10/2025,38072,50000
3/9/2025,34258,50000
3/8/2025,37634,50000
3/7/2025,41773,50000
3/6/2025,41025,50000
3/5/2025,38840,50000
3/4/2025,39610,76620
3/3/2025,38953,76620
3/2/2025,34484,76620
3/1/2025,37293,76620
2/28/2025,40725,76620
2/27/2025,40650,76620
2/26/2025,39874,76620
2/25/2025,38881,76620
2/24/2025,38494,76620
2/23/2025,32910,76620
2/22/2025,35451,76620
2/21/2025,39054,76620
2/20/2025,39408,76620
2/19/2025,39219,76620
2/18/2025,38987,76620
2/17/2025,37245,76620
2/16/2025,33866,76620
2/15/2025,36145,76620
2/14/2025,40124,76620
2/13/2025,38197,76620
2/12/2025,39171,76620
2/11/2025,39316,76620
2/10/2025,38018,76620
2/9/2025,32317,76620
2/8/2025,35155,76620
2/7/2025,39613,76620
2/6/2025,39162,76620
2/5/2025,38673,76620
2/4/2025,39867,76620
2/3/2025,38727,76620
2/2/2025,33259,76620
2/1/2025,36079,76620
1/31/2025,40263,76620
1/30/2025,38830,76620
1/29/2025,38831,76620
1/28/2025,39596,76620
1/27/2025,37765,76620
1/26/2025,32649,76620
1/25/2025,34537,76620
1/24/2025,37358,76620
1/23/2025,37848,76620
1/22/2025,36805,76620
1/21/2025,35690,76620
1/20/2025,33488,76620
1/19/2025,31078,76620
1/18/2025,33339,76620
1/17/2025,37143,76620
1/16/2025,35801,76620
1/15/2025,33883,76620
1/14/2025,33991,76620
1/13/2025,34417,76620
1/12/2025,30387,76620
1/11/2025,31706,76620
1/10/2025,35333,76620
1/9/2025,36338,76620
1/8/2025,35614,76620
1/7/2025,36402,76620
1/6/2025,36237,76620
1/5/2025,32112,76620
1/4/2025,34228,76620
1/3/2025,30462,76620
1/2/2025,25008,76620
1/1/2025,22473,76620
12/31/2024,24453,76620
12/30/2024,24385,26620
12/29/2024,20865,26620
12/28/2024,22126,26620
12/27/2024,24317,26620
12/26/2024,24040,26620
12/25/2024,21081,26620
12/24/2024,23596,26620
12/23/2024,24106,26620
12/22/2024,21261,26620
12/21/2024,22691,26620
12/20/2024,25151,26620
12/19/2024,24596,26620
12/18/2024,32487,26620
12/17/2024,38304,26620
12/16/2024,29412,26620
12/15/2024,21884,26620
12/14/2024,23739,26620
12/13/2024,26188,26620
12/12/2024,26030,26620
12/11/2024,26055,26620
12/10/2024,26047,26620
12/9/2024,25775,26620
12/8/2024,22020,26620
12/7/2024,23683,26620
12/6/2024,26151,26620
12/5/2024,25736,26620
12/4/2024,25744,26620
12/3/2024,25758,26620
12/2/2024,26025,26620
12/1/2024,22986,26620
11/30/2024,23727,26620
11/29/2024,24098,26620
11/28/2024,22605,26620
11/27/2024,25567,26620
11/26/2024,25549,26620
11/25/2024,25299,26620
11/24/2024,21752,26620
11/23/2024,23251,26620
11/22/2024,25763,26620
11/21/2024,26060,26620
11/20/2024,26371,26620
11/19/2024,26400,26620
11/18/2024,25725,26620
11/17/2024,22515,26620
11/16/2024,23187,26620
11/15/2024,25640,26620
11/14/2024,25330,26620
11/13/2024,24921,26620
11/12/2024,24162,26620
11/11/2024,22383,26620
11/10/2024,21068,26620
11/9/2024,22730,26620
11/8/2024,25862,26620
11/7/2024,25836,26620
11/6/2024,24560,26620
11/5/2024,25078,26620
11/4/2024,24759,26620
11/3/2024,20473,26620
11/2/2024,20726,26620
11/1/2024,24176,26620
10/31/2024,23636,26620
10/30/2024,22884,26620
10/29/2024,22948,26620
10/28/2024,23006,26620
10/27/2024,19646,26620
10/26/2024,20481,26620
10/25/2024,22749,26620
10/24/2024,23386,26620
10/23/2024,22822,26620
10/22/2024,23060,26620
10/21/2024,22192,26620
10/20/2024,19051,26620
10/19/2024,20345,26620
10/18/2024,23049,26620
10/17/2024,22326,26620
10/16/2024,23188,26620
10/15/2024,22635,26620
10/14/2024,20035,26620
10/13/2024,17672,26620
10/12/2024,17970,26620
10/11/2024,19930,26620
10/10/2024,21759,26620
10/9/2024,23255,26620
10/8/2024,23350,26620
10/7/2024,23729,26620
10/6/2024,20881,26620
10/5/2024,21418,26620
10/4/2024,24842,26620
10/3/2024,24676,26620
10/2/2024,23826,26620
10/1/2024,24154,26620
9/30/2024,23006,26620
9/29/2024,19706,26620
9/28/2024,21094,26620
9/27/2024,23391,26620
9/26/2024,23017,26620
9/25/2024,22726,26620
9/24/2024,22382,26620
9/23/2024,21954,26620
9/22/2024,19500,26620
9/21/2024,20644,26620
9/20/2024,23441,26620
9/19/2024,23273,26620
9/18/2024,23697,26620
9/17/2024,24052,26620
9/16/2024,23533,26620
9/15/2024,19828,26620
9/14/2024,21173,26620
9/13/2024,24971,26620
9/12/2024,24804,26620
9/11/2024,25503,25820
9/10/2024,25342,25820
9/9/2024,23315,25820
9/8/2024,20189,25820
9/7/2024,21400,25820
9/6/2024,21359,25820
9/5/2024,21282,25820
9/4/2024,21413,25820
9/3/2024,21467,25820
9/2/2024,18803,25820
9/1/2024,18257,25820
8/31/2024,18800,26420
8/30/2024,21206,26420
8/29/2024,20091,26420
8/28/2024,20111,26420
8/27/2024,20334,26420
8/26/2024,19815,26420
8/25/2024,16847,26420
8/24/2024,18226,26420
8/23/2024,20515,26420
8/22/2024,20593,26420
8/21/2024,19897,26420
8/20/2024,20377,26420
8/19/2024,19802,26420
8/18/2024,16771,26420
8/17/2024,18521,26420
8/16/2024,20797,26420
8/15/2024,20968,26420
8/14/2024,20922,26420
8/13/2024,21169,26420
8/12/2024,20927,26420
8/11/2024,17887,26420
8/10/2024,18549,26420
8/9/2024,20879,26420
8/8/2024,21027,26420
8/7/2024,20998,26420
8/6/2024,21070,26420
8/5/2024,21345,26420
8/4/2024,18441,26420
8/3/2024,19086,26420
8/2/2024,21996,26420
8/1/2024,22381,26420
7/31/2024,21715,26620
7/30/2024,21107,26620
7/29/2024,25336,26620
7/28/2024,24220,26620
7/27/2024,24577,26620
7/26/2024,26522,26620
7/25/2024,25914,26620
7/24/2024,25363,26620
7/23/2024,25086,26620
7/22/2024,25080,26620
7/21/2024,21263,26620
7/20/2024,22126,26620
7/19/2024,25259,26620
7/18/2024,25404,26620
7/17/2024,25355,26620
7/16/2024,25246,26620
7/15/2024,27204,26620
7/14/2024,21733,26620
7/13/2024,22999,26620
7/12/2024,27069,26620
7/11/2024,26210,26620
7/10/2024,26354,26620
7/9/2024,25336,26620
7/8/2024,25877,26620
7/7/2024,22784,26620
7/6/2024,23336,26620
7/5/2024,25565,26620
7/4/2024,23207,26620
7/3/2024,26112,26620
7/2/2024,24823,26620
7/1/2024,25668,26620
6/30/2024,21063,26620
6/29/2024,22166,26620
6/28/2024,24534,26620
6/27/2024,24136,26620
6/26/2024,24272,26620
6/25/2024,23200,26620
6/24/2024,23036,26620
6/23/2024,20305,26620
6/22/2024,21278,26620
6/21/2024,23852,26620
6/20/2024,23504,26620
6/19/2024,22692,26620
6/18/2024,23329,26620
6/17/2024,22130,26620
6/16/2024,18402,26620
6/15/2024,20121,26620
6/14/2024,23927,26620
6/13/2024,23728,26620
6/12/2024,23926,26620
6/11/2024,24269,26620
6/10/2024,23650,26620
6/9/2024,20163,26620
6/8/2024,21450,26620
6/7/2024,24568,26620
6/6/2024,23999,26620
6/5/2024,24151,26620
6/4/2024,23753,26620
6/3/2024,23800,26620
6/2/2024,20514,26620
6/1/2024,22305,26620
5/31/2024,23828,26620
5/30/2024,23404,26620
5/29/2024,24213,26620
5/28/2024,24031,26620
5/27/2024,21172,26620
5/26/2024,20106,26620
5/25/2024,21438,26620
5/24/2024,24368,26620
5/23/2024,23891,26620
5/22/2024,25249,26620
5/21/2024,26480,26620
5/20/2024,24565,26620
5/19/2024,21561,26620
5/18/2024,22454,26620
5/17/2024,23119,26620
5/16/2024,23057,26620
5/15/2024,23825,26620
5/14/2024,23892,26620
5/13/2024,23236,26620
5/12/2024,20042,26620
5/11/2024,21621,26620
5/10/2024,23824,26620
5/9/2024,22946,26620
5/8/2024,23948,26620
5/7/2024,24344,26620
5/6/2024,23260,26620
5/5/2024,20165,26620
5/4/2024,21333,26620
5/3/2024,24622,26620
5/2/2024,24614,26620
5/1/2024,24472,26620
4/30/2024,24584,26620
4/29/2024,23669,26620
4/28/2024,20444,26620
4/27/2024,21400,26620
4/26/2024,24494,26620
4/25/2024,25708,26620
4/24/2024,24802,26620
4/23/2024,24646,26620
4/22/2024,23885,26620
4/21/2024,20529,26620
4/20/2024,21547,26620
4/19/2024,21484,26620
4/18/2024,21326,26620
4/17/2024,21915,26620
4/16/2024,22854,26620
4/15/2024,19933,26620
4/14/2024,17158,26620
4/13/2024,17946,26620
4/12/2024,19432,26620
4/11/2024,20517,26620
4/10/2024,22845,26620
4/9/2024,22950,26620
4/8/2024,21822,26620
4/7/2024,18729,26620
4/6/2024,20159,26620
4/5/2024,22766,26620
4/4/2024,22723,26620
4/3/2024,22303,26620
4/2/2024,22460,26620
4/1/2024,21982,26620
3/31/2024,17670,25620
3/30/2024,19279,25620
3/29/2024,21400,26620
3/28/2024,20870,26620
3/27/2024,20782,26620
3/26/2024,21312,26620
3/25/2024,20957,26620
3/24/2024,18651,26620
3/23/2024,19091,26620
3/22/2024,21303,26620
3/21/2024,22038,26620
3/20/2024,21764,26620
3/19/2024,21343,26620
3/18/2024,20720,26620
3/17/2024,18433,26620
3/16/2024,19757,26620
3/15/2024,21448,26620
3/14/2024,21741,26620
3/13/2024,21109,26620
3/12/2024,21881,26620
3/11/2024,21560,26620
3/10/2024,19282,26620
3/9/2024,20595,26620
3/8/2024,22042,26620
3/7/2024,22017,26620
3/6/2024,22337,26620
3/5/2024,22459,26620
3/4/2024,21120,26620
3/3/2024,19076,26620
3/2/2024,20325,26620
3/1/2024,22204,26620
2/29/2024,21669,26620
2/28/2024,21778,26620
2/27/2024,21942,26620
2/26/2024,21000,26620
2/25/2024,18397,26620
2/24/2024,19518,26620
2/23/2024,21571,26620
2/22/2024,20062,26620
2/21/2024,21459,26620
2/20/2024,21307,26620
2/19/2024,20298,26620
2/18/2024,18237,26620
2/17/2024,19895,26620
2/16/2024,22149,26620
2/15/2024,22173,26620
2/14/2024,21833,26620
2/13/2024,21504,26620
2/12/2024,20750,26620
2/11/2024,19035,26620
2/10/2024,19632,26620
2/9/2024,21912,26620
2/8/2024,22633,26620
2/7/2024,23523,26620
2/6/2024,23451,26620
2/5/2024,23312,26620
2/4/2024,20536,26620
2/3/2024,21749,26620
2/2/2024,24718,26620
2/1/2024,24832,26620
1/31/2024,23903,26620
1/30/2024,23841,26620
1/29/2024,23219,26620
1/28/2024,20563,26620
1/27/2024,22522,26620
1/26/2024,24192,26620
1/25/2024,24042,26620
1/24/2024,23597,26620
1/23/2024,23497,26620
1/22/2024,23283,26620
1/21/2024,20467,26620
1/20/2024,21327,26620
1/19/2024,23976,26620
1/18/2024,23845,26620
1/17/2024,22811,26620
1/16/2024,22458,26620
1/15/2024,20926,26620
1/14/2024,20052,26620
1/13/2024,21737,26620
1/12/2024,23573,26620
1/11/2024,23439,26620
1/10/2024,22948,26620
1/9/2024,22861,26620
1/8/2024,21940,26620
1/7/2024,19582,26620
1/6/2024,20754,26620
1/5/2024,23002,26620
1/4/2024,22659,26620
1/3/2024,22887,26620
1/2/2024,22050,26620
1/1/2024,19480,26620
12/31/2023,19714,23620
12/30/2023,20766,23620
12/29/2023,22589,26620
12/28/2023,22600,26620
12/27/2023,22395,26620
12/26/2023,21170,18620
12/25/2023,18692,18620
12/24/2023,19361,18620
12/23/2023,20263,18620
12/22/2023,22464,18620
12/21/2023,22359,18620
12/20/2023,22032,18620
12/19/2023,22331,18620
12/18/2023,22138,18620
12/17/2023,19354,18620
12/16/2023,20524,18620
12/15/2023,21711,18620
12/14/2023,21008,18620
12/13/2023,20706,18620
12/12/2023,20454,18620
12/11/2023,19886,18620
12/10/2023,17593,18620
12/9/2023,19113,18620
12/8/2023,20799,18620
12/7/2023,20906,18620
12/6/2023,20664,18620
12/5/2023,21135,18620
12/4/2023,20863,18620
12/3/2023,18778,18620
12/2/2023,20404,18620
12/1/2023,18725,18620
11/30/2023,15965,18620
11/29/2023,14577,18620
11/28/2023,13984,18620
11/27/2023,13432,18620
11/26/2023,11533,18620
11/25/2023,12361,18620
11/24/2023,13171,18620
11/23/2023,12052,18620
11/22/2023,14305,18620
11/21/2023,15359,18620
11/20/2023,17567,18620
11/19/2023,16684,18620
11/18/2023,17704,18620
11/17/2023,20555,18620
11/16/2023,19932,18620
11/15/2023,21295,18620
11/14/2023,21807,18620
11/13/2023,20991,18620
11/12/2023,18138,18620
11/11/2023,19227,18620
11/10/2023,22439,18620
11/9/2023,22223,18620
11/8/2023,21197,18620
11/7/2023,21447,18620
11/6/2023,20459,18620
11/5/2023,17799,18620
11/4/2023,19092,18620
11/3/2023,21787,18620
11/2/2023,22094,18620
11/1/2023,21766,18620
10/31/2023,20947,18620
10/30/2023,20520,18620
10/29/2023,17220,18620
10/28/2023,18525,18620
10/27/2023,20951,18620
10/26/2023,21017,18620
10/25/2023,20696,18620
10/24/2023,20289,18620
10/23/2023,20186,18620
10/22/2023,17169,18620
10/21/2023,20454,18620
10/20/2023,21554,18620
10/19/2023,20701,18620
10/18/2023,20341,18620
10/17/2023,20061,18620
10/16/2023,20251,18620
10/15/2023,17014,18620
10/14/2023,18112,18620
10/13/2023,20911,18620
10/12/2023,20517,18620
10/11/2023,19859,18620
10/10/2023,19807,18620
10/9/2023,19218,18620
10/8/2023,16645,18620
10/7/2023,17393,18620
10/6/2023,19903,18620
10/5/2023,19613,18620
10/4/2023,19783,18620
10/3/2023,20362,18620
10/2/2023,20026,18620
10/1/2023,16871,18620
9/30/2023,18451,18620
9/29/2023,20355,18620
9/28/2023,19232,18620
9/27/2023,19018,18620
9/26/2023,19079,18620
9/25/2023,18901,18620
9/24/2023,16248,18620
9/23/2023,17590,18620
9/22/2023,19616,18620
9/21/2023,19409,18620
9/20/2023,20012,18620
9/19/2023,18998,18620
9/18/2023,18501,18620
9/17/2023,15512,18620
9/16/2023,16915,18620
9/15/2023,19098,18620
9/14/2023,18487,18620
9/13/2023,19910,18620
9/12/2023,20394,18620
9/11/2023,22425,18620
9/10/2023,19332,18620
9/9/2023,20718,18620
9/8/2023,24568,18620
9/7/2023,24633,18620
9/6/2023,24945,18620
9/5/2023,24968,18620
9/4/2023,22727,18620
9/3/2023,21569,18620
9/2/2023,23412,18620
9/1/2023,27230,18620
8/31/2023,25900,18620
8/30/2023,25847,18620
8/29/2023,24535,18620
8/28/2023,22184,18620
8/27/2023,18070,18620
8/26/2023,19543,18620
8/25/2023,22067,18620
8/24/2023,22592,18620
8/23/2023,22139,18620
8/22/2023,21461,18620
8/21/2023,20567,18620
8/20/2023,17838,18620
8/19/2023,19563,18620
8/18/2023,22112,18620
8/17/2023,21752,18620
8/16/2023,17701,18620
8/15/2023,8939,18620
8/14/2023,8046,18620
8/13/2023,7520,18620
8/12/2023,7960,18620
8/11/2023,8308,18620
8/10/2023,8052,18620
8/9/2023,7576,18620
8/8/2023,7579,18620
8/7/2023,7454,18620
8/6/2023,6927,18620
8/5/2023,7148,18620
8/4/2023,7613,18620
8/3/2023,7068,18620
8/2/2023,7693,18620
8/1/2023,8007,18620
7/31/2023,7752,18620
7/30/2023,7214,18620
7/29/2023,7577,18620
7/28/2023,7949,18620
7/27/2023,7946,18620
7/26/2023,7655,18620
7/25/2023,7405,18620
7/24/2023,7587,18620
7/23/2023,7164,18620
7/22/2023,7404,18620
7/21/2023,7730,18620
7/20/2023,7935,18620
7/19/2023,7758,18620
7/18/2023,7496,18620
7/17/2023,7213,18620
7/16/2023,5674,18620
7/15/2023,6027,18620
7/14/2023,6125,18620
7/13/2023,5670,18620
7/12/2023,5637,18620
7/11/2023,6267,18620
7/10/2023,7058,18620
7/9/2023,6394,18620
7/8/2023,6496,18620
7/7/2023,6286,18620
7/6/2023,6599,18620
7/5/2023,6570,18620
7/4/2023,6003,18620
7/3/2023,6022,18620
7/2/2023,5558,18620
7/1/2023,6155,18620
6/30/2023,6729,18620
6/29/2023,5906,18620
6/28/2023,5917,18620
6/27/2023,5910,18620
6/26/2023,5911,18620
6/25/2023,5511,18620
